🕘️更新时间,#genre#
4K测试,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8

🔆影视频道🔆,#genre#
封神榜,https://lunbo.freetv.top/yy/1382797534
西游记,https://txmov2.a.kwimgs.com/bs3/video-hls/5239093806671579134_hlsb.m3u8
笑傲江湖,https://lunbo.freetv.top/yy/1352833750

🔆高清频道🔆,#genre#
CCTV高尔夫网球,http://171.83.103.119:9999/rtp/239.69.1.83:10138
CCTV风云足球,http://171.83.103.119:9999/rtp/239.69.1.81:10126
CCTV世界地理,http://171.83.103.119:9999/rtp/239.69.1.91:10186
老故事,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
老故事,http://quan2018.mycloudnas.com:9000/udp/239.3.1.25:8001
都市剧场,https://satellitepull.cnr.cn/live/wxcqxwgb/playlist.m3u8
游戏风云,http://171.83.103.119:9999/rtp/239.69.2.8:11202
生活时尚,http://171.83.103.119:9999/rtp/239.69.2.11:11220
快乐垂钓,http://171.83.103.119:9999/rtp/239.69.1.142:10488
动漫秀场,http://171.83.103.119:9999/rtp/239.69.2.6:11190
